Christ for Life Manchester, Christ Evangelical Ministries Building,, 1294 – 1296 Ashton Old Road, , Manchester, Lancashire, M11 1JG, 53.4726189, -2.1624418 
Spring of Hope Rainham, Brenda Blakemore Community Centre, Davis Close, Off Upminster Road, Rainham, Essex, RM13 9JL, 51.5205768, 0.2070787 
My Father’s House Salford, 32-34 Duncan Street, Salford, , Salford, Greater Manchester, M5 3SQ, 53.4779966, -2.2701487 
Sanctuary of Power Durham, Farmwellgate Moor Community Centre, Front Street, Farmwellgate Moor, Durham, Durham, DH1 5EJ, 54.7944801, -1.5905081 
The Anchor for All Souls Woolwich, 36-38 Artillery Place, Woolwich, , Woolwich, London, SE18 4AB, 51.487754, 0.0597192 
Living Water Middlesborough, 125 Marton Road, Second Floor, , Middlesborough, North Yorkshire, TS1 2DU, 54.5741482, -1.2269516 
Love Assembly Derby, shelton lock community welfare centre, chellaston road, shelton lock, Derby, Derbyshire, DE24 9DY, 52.882813, -1.4485391 
Cornerstone Parish Loughborough, John Storer House, Wards End, , Loughborough, Leicestershire, LE11 3HA, 52.7690722, -1.2078197 
Turning Point Parish Barking, 113 Harts Lane, Barking, , Barking, Essex, IG11 8LY, 51.5418218, 0.0702503 
Inspiration House Croydon, Pettswood Mmorial Hall, 200 Pettwwood Road, croydon, Croydon, London, CR5 1LA, 51.3061204, -0.1218819 
Zion Assembly Elephant & Castle, 106 Doreen Ramsey Court, The Cut, , London, London, SE1 8LN, 51.5027435, -0.1088956 
Glorious High Throne Wallington, 129A Stafford Road, Wallington, Wallington, sutton, Surrey, SM6 9BN, 51.3591013, -0.1407583 
Salvation & Praise House Strood, Chatenden Community Centre, Swintonm Avenue, Chattenden, Rochester, , ME3 8PH, 51.4242429, 0.5263702 
His Life Billericay, Langham Hall, Langham Crescent, South Green, Billericay, , CM12 9RD, 51.6144691, 0.4271949 
Vine House Outreach Dartford, Unit 4 & 5 Victoria Wharf, Victoria Road, , Dartford, Kent, DA1 5AJ, 51.4503283, 0.2168438 
Overcomers House Torquay, Church Hall, Christchurch Ellayombe, Church Road, Torquay, , TQ1 1LR, 50.4724318, -3.52459 
Covenant Restoration Assembly Kingstanding, Youth & Community Centre, 610 Kingstanding Road, Birmingham, , Birmingham, West Midlands, B44 9SH, 52.547403, -1.8851096 
Covenant Sanctuary Forest Gate, Field Community Centre, 147 Station Road,, Forest Gate, London, London, E7 0AE, 51.5531419, 0.0208393 
Mercy Seat Birmingham, 1st Bromford Community Centre, Bromford, , Birmingham, West Midlands, B36 8UB, 52.5067478, -1.8181506 
Victory Centre Swindon, Pinetress Community Centre, Pinehurst Road, , Swindon, Wiltshire, SN2 1QR, 51.582189, -1.7824739 
His Glory Tabernacle Catford, Unit 20 Bellingham Trading Estate, Franthorne Way, Catford, Cartford, London, SE6 3BX, 51.4342166, -0.0199361 
The Potters House Edinburgh, 32, Niddrie Mains Road, Edinburgh, Edinburgh, Edinburgh, Midlothian, EH16 4BG, 55.9325368, -3.1393752 
House of the Lord London, Wally Foster Community Centre, Homerton Road, Marsh Hill, Hackney, London, E9 5QB, 51.5500686, -0.0348723 
Praise Centre Bromley, Downham Health & Leisure Centre, 7-9 Moorside Road, , Bromley, Greater London, BR1 5EP, 51.4270728, 0.0093309 
New Hope Sanctuary Eltham, 150 Middlepark Avenue, Eltham, , Eltham, London, SE9 5SD, 51.4461059, 0.0387616 
Inner Court Beckenham, JJ Dance Studios, 182B High Street, Beckenham, , , BR3 1EW, 51.4074816, -0.0279644 
God’s House International Centre Yeovil, Monmouth Community hall, Yeovil, , , , BA21 5NP, 50.9532301, -2.6184544 
Open Heavens Christian Centre Hatfield, Assembly Hall, 91 Bishops Rise, , Hatfield, Hertfordshire, AL10 9BZ, 51.7481354, -0.2348242 
Rehoboth Christian Centre Chorley, St. Mary’s Parish centre, Devonshire Road, Chorley, , , PR7 2SR, 53.6525271, -2.6333765 
City of God Glasgow, 210 Kennedy Street, Townhead, Glasgow, Glasgow, Lanarkshire, G4 0BQ, 55.8671713, -4.2413072 
House of Praise Kidbrooke, OneSpace Youth and Community Centre, Kidbrooke Park Road, Kidbrooke Village, Kidbrooke, London, SE3 9YY, 51.4593028, 0.0265771 
Victorious Family Parish Chatham, Abundant Life Arena, Dock Road, Next to the Medway council Offices, Gun Wharf, Chatham, ME4 4TX, 51.3867905, 0.5236019 
Strong Tower Miracle Arena, 39 Crab Lane, Blackley, , Manchester, Greater Manchester, M9 8NB, 53.5296093, -2.2310434 
Holy Ghost Zone Thornton Heath, Peppermint Centre, Franklin Way, Thornton Heath, Croydon, Surrey, CR0 4YD, 51.3818138, -0.1275798 
Kingdom Life Assembly Doncaster, 27 Shotton Walk, Doncaster, , Doncaster, South Yorkshire, DN1 3RH, 53.5164377, -1.1370199 
Great Light Connections Canary Wharf, 52 Skylines,, Limeharbour,, Docklands, London, London, E14 9TS, 51.4991951, -0.0128563 
King of Glory Edinbugh, St Gregorys The Great Walter Scott Avenue Church Hall, Bellenden Gardens, , Edinburgh, Midlothian, EH16 5TA, 55.9219921, -3.1514836 
Praise City Plumstead, 2nd Floor, 26-42 Plumstead High Street, , Plumstead, London, SE18 1SL, 51.4886316, 0.0883953 
The Livingstones Newbury Park, Marksgate Community Complex, Rose Lane Marksgate, , Newbury Park, Romford, RM6 5HP, 51.5847099, 0.1334043 
Winners Assembly Brixton, Shop 294, Brixton Road, , London, London, SW9 6AG, 51.4703621, -0.1128554 
All Soul’s Parish Ipswich, The Key, 15 St. Margaret’s Plain, Ipswich, Suffolk, , IP4 2BB, 52.0593617, 1.1567876 
Bethel Parish Docklands, Mudshute Farm, Isle of Dogs, Docklands, , , E14 3HP, 51.4914617, -0.0096921 
City of Praise Manchester, St Pauls Peel Community Hall, Manchester Road West, Little Hulton, Manchester, Greater Manchester, M38 9EG, 53.5319364, -2.4271659 
Light House Parish Banbury, Station Approach, Caravan Park, Banbury, Banbury, Oxfordshire, OX16 5AB, 52.0593923, -1.3270525 
Emmanuel Chapel Colnbrook, Westfield Community Centre, Colnbrook, , , , SL3 8UT, 51.4911539, -0.536577 
Royal Diadem Chapel Northampton, Media house, 31 Freehold street, , Northampton, Northamptonshire, NN2 6EW, 52.2500462, -0.8956366 
Goodnews Parish Letchworth, Jackmans Community Centre, Jackmans Estate, Letchworth Garden City, Letchworth, Hertfordshire, SG6 2NL, 51.9702559, -0.2111288 
Fragrance of Life Connections Letchworth, The Eight Scout Letchworth Group, Sparhawke,, , Letchworth, Hertfordshire, SG6 4PY, 51.995506, -0.2236838 
Faith Chapel Bellingham, 108 Brookehowse Road, Bellingham, , Bellingham, Greater London, SE6 3TW, 51.4309087, -0.0216185 
Morning Star Parish Currie, Currie Youth Club, 280 Lanark Road West, Currie, Edinburgh, Midlothian, EH14 5RU, 55.8939813, -3.3167049 
House of the Lord Broxburn, Woodlands Edge, Broxburn Parade, Broxburn Drive, South Ockendon, Ockendon, RM15 5QZ, 51.5037286, 0.2866279 
Covenant Rock Birmingham, Lutlley Community Centre, Brookwillow Road, Birmingham, Birmingham, Birmingham, B63 1BU, 52.4406073, -2.0747318 
Christ Ambassadors Wythenshawe, ST ANDREWS BUILDING, BROWNLEY ROAD, WYTHENSHAWE, Manchester, , M22 0DW, 53.3772687, -2.259003 
Heritage Church Warrington, Church at Crosfield street, Warrington, , Warrington, Cheshire, WA1 1UD, 53.3910937, -2.6024961 
Rivers of Living Waters Thamesmead, Thamesmere Leisure Centre, Thamesmere Drive, , Thamesmead, London, SE28 8RE, 51.5078008, 0.1091875 
Shekhinah Glory of The Living God, Pimlico Academy, Lupus Street, London, London, London, SW1V 3AT, 51.4881789, -0.1371975 
Grace and Truth Parish Manchester, 342 Oldham Road,, Miles Platting, Manchester, Manchester, Greater Manchester, M40 7NS., 53.488738, -2.2220496 
Solution Ground Gravesend, Palmer Avenue, Gravesend, Kent, , , DA12 5DQ, 51.4169299, 0.3795196 
Holy Ghost Zone Binley, John White community Centre, Grange Avenue, , Binley, West Midlands, CV3 2ED, 52.3912315, -1.4466599 
Living Bread Parish Newcastle, 94-102 Blandford street, , , Newcastle, Newcastle Upon Tyne, NE1 3BT, 54.9679196, -1.624532 
Faith Church Basildon, Steepleview memorial hall, Willow field, Steepleview, LaindonBasildon, Essex, SS15 4EQ, 51.5862953, 0.4301535 
Sanctuary of God’s Refuge Mitcham, 1st Floor, 1A Menin Works, 59, Bond Road, Mitcham, Surrey, CR4 3HG, 51.4084939, -0.1661763 
Solid Rock Parish Derby, 55 Woods Lane, Off Abbey Street, , Derby, Derbyshire, DE22 3UD, 52.9160114, -1.4846873 
Throne of Grace South end on Sea, Southend Evangelical Church, Guildford Road, Southend-on-Sea, Southend-on-Sea, Southend-on-Sea, SS2 5AS, 51.5422144, 0.7149176 
Winners Sanctuary Lewisham, Unit 14 Leegate Centre, Leyland Road, , Lewisham, London, SE12 8SS, 51.4557216, 0.0126039 
House of Israel Cricklewood, 148, Clayton Crown Hotel, Cricklewood, Broadway, London, NW2 3ED, 51.556677, -0.2148523 
Inspiration House Old Street, Waterside Play & Youth Project, 50 Dame Street, London, , , N1 7FR, 51.5342164, -0.0954941 
The Throne of Grace Glasgow, 19, Carrington Street, , , , G4 9AJ, 55.871476, -4.271703 
Freedom Centre Rotherham, Eastwood View (Springwell Gardens), Rotherham,, , Rotherham,, South Yorkshire, S65 1NH, 53.4386827, -1.3300349 
Christ’s Love Assembly Didcot, Northbourne Centre, Church St, Didcot, Didcot, Oxfordshire, OX11 8DG, 51.6057042, -1.2377246 
Covenant Parish Hull, 25-26 Park Street, Hull, , Hull, Yorkshire, HU2 8RR., 53.745534, -0.3522677 
Glory of God Exeter, St Matthew’s Church Hall, Lower Summerland,, , Exeter, Devon, EX1 2LJ, 50.7248504, -3.5191824 
Hall of Mercy Barking, Abbey Community Centre, Cowbridge lane, Barking, , , IG11 8LF, 51.5404171, 0.0723929 
House of Prayer Manchester, 217-219 Ashton Old’, Beswick, Manchester, Manchester, Lancashire, M11 3WU, 53.4750553, -2.2083581 
Inspiration House Old Kent Road, 2nd Floor, 54 – 80 Ossory Road, off Old Kent Road, london, London, SE1 5AN, 51.4846551, -0.0710869 
Resurrection and Restoration Parish Erith, Birch House, Birch Walk, Fraser Road, Erith, Kent, DA8 1QX, 51.481053, 0.1660812 
Still Waters Colchester, Heath House, Heath Business Park, Grange Way, Colchester, Essex, CO2 8GU, 51.8725233, 0.9265155 
Dominion Assembly Liverpool, 2B GLOUCESTER ROAD, Tuebook, Liverpool, Liverpool, Lancashire, L6 4DS, 53.424851, -2.9376314 
Rabboni Parish Stevenage, 37, The Oval, Stevenage, Hertfordshire, , SG1 5RD, 51.9188712, -0.1791158 
Rhema Chapel Wickford, The wick community centre, Silva Way, , , , SS12 9NR, 51.6020179, 0.5358528 
House of Judah Eltham, 79 William Barefoot, Eltham, , Eltham, London, SE9 3JD, 51.4320811, 0.0591131 
Open Heavens Christian Centre Edgware, 194-198 Broadfields Avenue, Edgware, , Edgware, London, HA8 8TF, 51.6277503, -0.2724281 
Overcomers House Weston-Super-Mare, Castle Batch Count Centre, Bishop Avenue, Off Magdalen Way, Worle, Weston-Super-Mare, BS22 7PQ, 51.3660386, -2.917537 
 
Praise Connections Upminster, Drama Studio, Coopers and Coborn School, St Mary’s Lane, Upminster, United Kingdom, RM14 3HS, 51.5562743, 0.2602079 
Hope Chapel Manchester, 958-960, Stockport Road, Manchester, , Manchester, Lancashire, M19 3NN, 53.4433091, -2.191627 
Divine Habitation Centre, 262 Holloway Road, Antonia Hse., Opposite Sainsbury, London, London, N7 6NE, 51.5538836, -0.1133386 
House of Faith Connections Dagenham, Imperial House, 100 New Road, , Dagenham, Essex, RM9 6YJ, 51.5286843, 0.1550774 
Christ’s Domain Sidcup, 27 Cray road, Off Rectory Lane, Footscray Sidcup, Sidcup, London, DA14 5Bu, 51.4194779, 0.1193721 
Redhill Tabernacle, The Warwick School, Noke Drive, Redhill, , Redhill, Surrey, RH1 4AD, 51.2423566, -0.1612438 
New Wine Assembly East Ham, Units 2 & 3, 1st Floor, 51 -57 High Street South, East Ham, London, E6 6EJ, 51.5297223, 0.0561775 
Salvation Theatre Birmingham, 58A – 60 Westminster Road, Handsworth, , Birmingham, West Midlands, B20 3LJ, 52.5098534, -1.9069401 
Tabernacle of His Presence Houghton Regis, Bedford Square Community Centre, Tithe Farm Road, Houghton Regis, Houghton Regis, Central Bedfordshire, LU5 5ES, 51.9049586, -0.5193594 
Disciplers Assembly Wolverhampton, Unit 48, Cable Street, Wolverhampton, , , WV2 2HX, 52.5760211, -2.1107023 
Abundance of Life Romford, Russel 11 Leisure Centre, Parsloes Avenue, Dagenham, Romford, Essex, RM9 5QT, 51.548375, 0.1331319 
Great Faith Foundation Standford, Hassenbrook Academy, hassenbrook Road, Standford, , , SS17 0NS, 51.516282, 0.4345393 
Chapel of His Glory Bradford, Glory Community Centre, 50 Nelson Street, Off Manchester Road by Bradford Interchang, BRADFORD, West Yorkshire, BD5 0DD, 53.7887062, -1.7521901 
Hosanna House Christian Centre Wolverhampton, Unit 4, Cross Street-North, off Cannock Road, , Wolverhampton, West Midlands, WV1 1PP, 52.5944008, -2.1242859 
Peace House Stoke-on-Trent, c/o Christ Church, 10 Emery Street, Cobridge, Stoke On Trent, , ST6 2JJ, 53.0357088, -2.187516 
Chapel of Truth Dagenham, Abbey Community hall, Cowbridge Lane, Dagenham, London, London, IG11 8 LF, 51.5404171, 0.0723929 
 
Peace Haven Kent, 50 Nuxley Road, , , Belvedere, Kent, DA17 5JG, 51.4824716, 0.1456675 
Redemption Gospel Centre Hamilton, Wardley Community Centre, 30 Ash Drive, Swinton, Swinton, South Yorkshire, M27 9RS, 53.5193931, -2.3573151 
The Covenant Assembly Chatham, 41st Medway (Scout Hall), Mafekin Road, , Chatham, Kent, ME5 9HG, 51.3394749, 0.522782 
Good Ground Christian Centre South Oxhey Watford, OXHEY WOOD PRIMARY SCHOOL, OXHEY DRIVE, SOUTH OXHEY, , Hertfordshire, WD19 7SL, 51.624878, -0.3917977 
The Promised Land London, Lewis Suite, Resource for London, 356 Holloway Rd, London, London, N7 6PA, 51.5558574, -0.1158536 
Royal City East Grinstead, Eastcourt Mansion, College Lane, East Grinstead, , , RH19 3LT, 51.1294165, -0.0018723 
House of Joy Slough, Kedermister Park Hall, Reddington Drive, Langley, Slough, Berkshire, SL3 7QQ, 51.5009371, -0.5546909 
The King’s Praise Chapel, Walthamstow School for Girls, Church Hill, Walthamstow, Walthamstow, London, E17 9RZ, 51.5852912, -0.0139666 
Montrose Tabernacle, Links Hotel, Mid Links, , Montrose, Angus, DD10 8RL, 56.7127011, -2.4641012 
The Pathfinder City of Praise Warrington, Orford Community Hub, Festival Avenue, Orford, Warrington, United Kingdom, WA2 9EP, 53.409923, -2.5792944 
Holy Ghost Zone London, 685-689 Old Kent Road, London, , London, London, SE15 1JS, 51.4822625, -0.0617831 
The Strong Tower Essex, North Romford Community Centre, Clock house Lane, Collier Road, Romford, Essex, RM5 3QJ, 51.6005316, 0.1646436 
Citadel of Prayer Eastham, 2 Bolleyn Road, Eastham working Men’s Club, East Ham, , , E6 1QE, 51.5319401, 0.0414411 
The King’s Glory Kings Lynn, Fairstead Community Centre, Fairstead Estate, , King’s Lynn, Norfolk, PE30 4SR, 52.7525291, 0.4377804 
Grace Tabernacle International Norbury, Unit D, Croydon House Business Centre, 1 Peall Road, London, London, CR0 3EX, 51.3885963, -0.1220856 
Victory Centre Leeds, Malmarc house, 116 Dewsbury Road, Beeston, Leeds, West Yorkshire, LS11 6XD, 53.7810698, -1.5447066 
Vinebranch Parish Lewisham, 186A Deptford High Street, Deptford, , Deptford, London, SE8 3PR, 51.4807689, -0.0261584 
Ark of God Chatham, 94 Hopewell Drive, Chatham, , Chatham, Kent, ME5 7PY, 51.3644464, 0.5449862 
Living Faith Assembly Horsham, Resource Centre, 11A The Broadway, Crawley, Crawley, West Sussex, RH10 1DX, 51.1158727, -0.1878584 
Rehoboth Chapel Basingstoke, Popley Fields Community Centre, Popley, Basingstoke, , , RG24 9AE, 51.2873232, -1.076262 
City of David Cambridge, Unit BC The Paddocks, 347 Cherry Hinton Road, , Cambridge,, Cambridgeshire, CB1 8DH, 52.187837, 0.155094 
Royal Connections Bow, The HUB, 90 Monier Road, , Bow, London, E3 2ND, 51.5398812, -0.0221019 
Winners Sanctuary Swanley, White Oak Leisure Centre, Hilda May Avenue, Swanley, Swanley, Kent, BR8 7BT, 51.401073, 0.171717 
Winners World Birmingham, Comfort Inn, Station Street, Birmingham, Birmingham, West Midlands, B5 4DY, 52.476566, -1.8988242 
Hephzibah (Grace Pastures Parish) Enfield, Eastfield Primary School, Eastfield Road, Enfield, London, London, EN3 5UX, 51.6661576, -0.0405392 
His Glory Pavilion Catford, Goldsmiths Community Centre, Castillon Road, Catford, , London, SE6 1QD, 51.4353996, 0.0025311 
Pentecost House Brockley, St. Hilda’s & Cyprian Church Hall, Brockley, , Brockley, London, SE23 1LA, 51.4518624, -0.0398553 
The New Creation Assembly South Norwood, 101 – 105 Portland Road, South Norwood, , South Norwood, London, SE25 4UN, 51.3973781, -0.0709081 
The Refuge Epping, Best Western, The Bell Hotel, , Epping, Essex, CM16 4DG, 51.692369, 0.0960103 
Great Beauty Tabernacle Catford, CAPITAL HOUSE 2nd Floor, 43-47 rushey green, Catford, London, London, SE6 1TF, 51.4386556, -0.0038302 
Favoured People’s Chapel, Warren Sports Centre, Warren Secondary School, Whalebone Lane North, , Essex, RM6 6SB, 51.5768594, 0.1412921 
Bracknell Victorious Assembly Reading, Easthampstead and Wildridings community centre,, Rectory Lane, , Bracknell,, Berkshire, RG12 7BH, 51.4036665, -0.7559281 
Garden of Hope Liverpool, St. Dunstans Church, Earle Road, Liverpool,, Merseyside, Lancashire, L7 6HD, 53.3987982, -2.942578 
King’s Grace Chapel Borehamwood, Holy Cross Church Hall, Borehamwood, , Borehamwood, Hertfordshire, WD6 2QU, 51.6516824, -0.2556604 
Living Word Maidenhead, York Centre, 42 York Road, , Maidenhead, Berkshire, SL6 1SH, 51.5203969, -0.7171782 
The Place of Restoration Islington, St. Mary’s Neighbourhood Centre, Upper Street, , Islington, London, N1 2TX, 51.5383744, -0.1018096 
Amazing Grace Tabernacle Sheffield, Hillsborough Sports Arena, Middlewood Road, Sheffield, Sheffield, South Yorkshire, S6 4HA, 53.4042299, -1.5032521 
City of Zion Cambridge, Unit 1 Restwell House, Coldhams Road, Cambridge, Cambridge, Cambridgeshire, CB1 3EW, 52.2082915, 0.1488094 
Fountain of Grace Brierly Hill, 14, Canal Street, , , , DY5 1JJ, 52.4908303, -2.1135953 
Victory Centre London, 59/59A Plumstead Common Road, Plumstead, , Plumstead, London, SE18 3AS, 51.4823077, 0.0697429 
Overcomers Assembly Deptford, 8 Kingfishers Square, Clyde Street, , Deptford, London, SE8 5TW, 51.4816056, -0.0304573 
All Nations Church Stratford, Ithaca House, 27 Romford Road, London, London, London, E15 4LJ, 51.5424216, 0.0051784 
 
Open Heavens Christian Centre Barnet, Moss Hall Junior School, Nether Street, Finchley, Barnet, London, N3 1NR, 51.6099162, -0.1858292 
Shining Light Christian Connections Brentwood, Shenfield Parish Hall, 60 Hutton Road, Shenfield, Brentwood, Essex, CM15 8LB, 51.6297325, 0.322192 
Glory of God Parish Bristol, 21-23 Stokes Croft, Bristol, , Bristol, Gloucestershire, BS1 3PY, 51.4614476, -2.5911445 
House of Dominion Orpington, Buttermere Road, St Pauls Cray Primary School, Orpington, Orpington, Kent, BR5 3WD, 51.3960946, 0.1209505 
The End Time Harvest Dartford, Temple Hill Community Hall, Temple Hill, , Dartford, Kent, DA1 5HY, 51.451004, 0.2276858 
Living Fountain of Waters Enfield, Junior School, Carterhatch lane, , Enfield, Middlesex, EN3 6TW, 51.6803828, -0.0421094 
King of Glory Assembly Dartford, Blessed Hope SDA Church, Priory Hill, , Dartford, Kent, DA1 2ES, 51.4456543, 0.2119546 
The Great Shepherd Twickenham, Methodist Church, Queens Road, Twickenham, , , TW1 4EN, 51.4467259, -0.3307877 
Cornerstone Church Belfast, Wellington Park Hotel, 21 Malone Road, Belfast, , , BT9 6RU, 54.5812093, -5.9393209 
The All – Sufficient Sanctuary Oldham, Chadderton Wellbeing Centre, Burnley Street, Chadderton, Oldham, Greater Manchester, OL9 0JW, 53.5476087, -2.1415702 
 
Ressurection Assembly Dagenham, Mardyke Community Centre, South Street, Rainham, Rainham, Essex, RM13 8PJ., 51.5273478, 0.1685519 
Kingdom Life Assembly Brighton, Technology House, West Road, , Brighton, East Sussex, BN41 1QH, 50.8322143, -0.2238739 
The Cornerstone Kentish Town, Holy Trinity, Hartland Road, , Kentish Town, London, NW1 8DE, 51.5445452, -0.1452225 
The Joy of All Souls Haywards Heath, Albemarle Centre, Appledore Gardens,, Haywards Heath, Haywards Heath, West Sussex, RH16 2AQ, 51.006353, -0.0922784 
The Pathfinder Manchester, Redemption Place(Ark Royal), 1 Lathbury Road, Harpurhey Manchester, Manchester, Greater Manchester, M9 5SY, 53.5055657, -2.2164234 
New Life Assembly Plaistow, The Mixed Centre, 1A Cumberland Road, , Plaistow, London, E13 8LH, 51.5221768, 0.0262432 
King of Kings Tabernacle Dagenham, 2/4 Whalebone Lane, , , Dagenham, Essex, RM8 1BJ, 51.5625402, 0.1473428 
Chapel of Grace Laleham, Leleham village hall, The broadway, Leleham, , , TW18 1RZ, 51.4101516, -0.4869544 
Friends Parish Camberwell, Crawford Estate, Tenants Community Hall, Camberwell, London, London, SE5 9HQ, 51.4725021, -0.0978207 
Victory House Old Kent Road, 5 Congreve Street, Off Old kent Rd, , london, London, SE17 1TJ, 51.4918419, -0.0838061 
Cornerstone Beeston, The Pearson Center for the Young, 2 Nuart Road, Beeston, Nottingham, Nottinghamshire, NG9 2NH, 52.9280544, -1.2174172 
Jubilee Hall London, 132 Eric Street, London Borough of Tower Hamlets, , london, London, E3 4SS, 51.5248577, -0.0335217 
